Date,FB,AMZN,AAPL,MSFT,GOOG,TSLA
6/1/2000,,50.1875,0.680887282,20.55067444,,
6/2/2000,,57.875,0.707148731,21.10771751,,
6/5/2000,,54.5,0.697599292,21.28676224,,
6/6/2000,,50.5625,0.709536374,22.162117,,
6/7/2000,,51.8125,0.737707675,22.44062614,,
6/8/2000,,51.875,0.724338055,21.90348053,,
6/9/2000,,52.1875,0.731500328,21.90348053,,
6/12/2000,,48.4375,0.696644306,21.28676224,,
6/13/2000,,49,0.721950829,21.60507393,,
6/14/2000,,46.4375,0.690914392,22.44062614,,
6/15/2000,,46.3125,0.705716491,23.03745842,,
6/16/2000,,46,0.696644306,23.09713745,,
6/19/2000,,45.3125,0.738184988,23.45522308,,
6/20/2000,,46.125,0.773518682,23.85310745,,
6/21/2000,,46.0625,0.849915564,25.68336678,,
6/22/2000,,42,0.821266711,25.42477036,,
6/23/2000,,33.875,0.789753079,24.7284565,,
6/26/2000,,33.9375,0.826996446,25.30539131,,
6/27/2000,,36.5,0.790707767,25.0865593,,
6/28/2000,,37.875,0.831771314,25.12633705,,
6/29/2000,,37.125,0.783068299,24.56930733,,
6/30/2000,,36.3125,0.800257564,25.46453476,,
7/3/2000,,37,0.81458205,25.46453476,,
7/5/2000,,36.5,0.788798034,24.98708344,,
7/6/2000,,36.0625,0.791662931,25.76296425,,
7/7/2000,,36.125,0.831771314,26.10115051,,
7/10/2000,,35.0625,0.872834861,25.28549957,,
7/11/2000,,33.125,0.869969666,25.18602371,,
7/12/2000,,35.0625,0.899573743,25.56401634,,
7/13/2000,,35,0.863284945,25.44465065,,
7/14/2000,,42.625,0.881429315,25.12633705,,
7/17/2000,,41.125,0.890979052,24.88760376,,
7/18/2000,,41.75,0.874744594,24.98708344,,
7/19/2000,,40.875,0.805032432,23.27618027,,
7/20/2000,,40.3125,0.842275858,23.8133316,,
7/21/2000,,41.125,0.818401873,23.01756859,,
7/24/2000,,38.75,0.743914604,22.46052742,,
7/25/2000,,37.625,0.764924049,21.96315956,,
7/26/2000,,36.0625,0.764924049,21.58517838,,
7/27/2000,,31.375,0.794527709,22.08252907,,
7/28/2000,,30,0.738184988,22.18200874,,
7/31/2000,,30.125,0.776383698,22.22179413,,
8/1/2000,,30.25,0.75346452,21.86369705,,
8/2/2000,,30.8125,0.721950829,22.08252907,,
8/3/2000,,31.5,0.733410299,22.36105347,,
8/4/2000,,32.5,0.723860621,22.00295067,,
8/7/2000,,33.8125,0.732455254,22.28147316,,
8/8/2000,,32.9375,0.714311123,23.59448433,,
8/9/2000,,30.875,0.725770533,23.63427544,,
8/10/2000,,30.4375,0.726725519,23.11702728,,
8/11/2000,,33.6875,0.72863555,23.05734634,,
8/14/2000,,34.875,0.719086051,22.9777832,,
8/15/2000,,37.5625,0.713356078,22.79872704,,
8/16/2000,,38.625,0.741050005,22.59978104,,
8/17/2000,,38.25,0.785933197,22.77882385,,
8/18/2000,,39,0.763969183,22.59978104,,
8/21/2000,,37.5,0.77160871,22.48041916,,
8/22/2000,,36.5,0.789753079,22.67935753,,
8/23/2000,,38.8125,0.829861343,22.52020836,,
8/24/2000,,39.375,0.857316494,22.63957024,,
8/25/2000,,39.9375,0.868059933,22.48041916,,
8/28/2000,,39.125,0.88715893,22.69925308,,
8/29/2000,,39.625,0.904348135,22.57988548,,
8/30/2000,,42.9375,0.909122884,22.28147316,,
8/31/2000,,41.5,0.931087434,22.22179413,,
9/1/2000,,41.5,0.969285905,22.34115791,,
9/5/2000,,45.6875,0.954006135,22.32126427,,
9/6/2000,,45.875,0.892888784,22.10242462,,
9/7/2000,,43.5,0.947321415,22.30136681,,
9/8/2000,,42.9375,0.899573743,22.06264305,,
9/11/2000,,42.375,0.892888784,21.90348053,,
9/12/2000,,42.6875,0.882384419,21.68465614,,
9/13/2000,,42.4375,0.886204302,21.7244339,,
9/14/2000,,44.875,0.868775964,20.9485569,,
9/15/2000,,43.625,0.843947053,20.43131447,,
9/18/2000,,42.8125,0.92678988,20.05332947,,
9/19/2000,,40.75,0.915807843,20.68994141,,
9/20/2000,,37.5,0.932758689,20.45121574,,
9/21/2000,,40.0625,0.866149962,20.43131447,,
9/22/2000,,41.4375,0.797392786,20.13290024,,
9/25/2000,,40.375,0.817446947,19.4962883,,
9/26/2000,,39.75,0.785933197,19.95385933,,
9/27/2000,,37.875,0.747734904,19.29735184,,
9/28/2000,,40,0.817446947,19.51618385,,
9/29/2000,,38.4375,0.393444121,19.19787407,,
10/2/2000,,35.875,0.370525002,18.81989098,,
10/3/2000,,35.0625,0.340921223,18.00422096,,
10/4/2000,,36,0.360975415,17.64613914,,
10/5/2000,,33.5625,0.33710134,17.62623978,,
10/6/2000,,31.5625,0.339011312,17.68592453,,
10/9/2000,,30.0625,0.332326472,17.24824333,,
10/10/2000,,30.4375,0.31895718,17.36761475,,
10/11/2000,,27.8125,0.299857825,17.74560738,,
10/12/2000,,25.125,0.305587649,17.30792999,,
10/13/2000,,28.4375,0.33710134,17.1089859,,
10/16/2000,,24.3125,0.328506649,16.03470421,,
10/17/2000,,21.9375,0.30749771,16.05459785,,
10/18/2000,,25.125,0.30749771,16.47237396,,
10/19/2000,,27.75,0.289353281,19.69522667,,
10/20/2000,,30.8125,0.297948003,20.74961853,,
10/23/2000,,30,0.311317354,19.77481079,,
10/24/2000,,29.5625,0.288398296,19.57586098,,
10/25/2000,,31.875,0.282668471,19.4962883,,
10/26/2000,,36.875,0.282668471,20.51089287,,
10/27/2000,,35.625,0.283623517,21.54539108,,
10/30/2000,,32.875,0.295083106,21.98306656,,
10/31/2000,,36.625,0.298902959,21.92337799,,
11/1/2000,,37.375,0.313227355,22.162117,,
11/2/2000,,39.75,0.340921223,22.38094139,,
11/3/2000,,37.5625,0.339966148,21.7244339,,
11/6/2000,,36.5625,0.327551663,22.12231636,,
11/7/2000,,36.9375,0.325641751,22.44062614,,
11/8/2000,,33.875,0.306542575,22.10242462,,
11/9/2000,,31.25,0.308452547,22.55998993,,
11/10/2000,,30.0625,0.291263252,21.44592094,,
11/13/2000,,27.8125,0.296038002,21.14750671,,
11/14/2000,,28.9375,0.309407502,21.90348053,,
11/15/2000,,29.5,0.303677708,22.30136681,,
11/16/2000,,27.8125,0.290308207,21.94327927,,
11/17/2000,,27.4375,0.282668471,21.98306656,,
11/20/2000,,25.8125,0.289353281,21.3862381,,
11/21/2000,,24.25,0.28744334,21.56528091,,
11/22/2000,,25.1875,0.282668471,21.7244339,,
11/24/2000,,28.9375,0.295083106,22.26158142,,
11/27/2000,,28,0.285533369,22.50030708,,
11/28/2000,,25.03125,0.275506347,21.32654572,,
11/29/2000,,26.9375,0.268344253,20.70983315,,
11/30/2000,,24.6875,0.252109796,18.26285172,,
12/1/2000,,24.625,0.260704488,18.02411461,,
12/4/2000,,26.5625,0.254974693,17.96443748,,
12/5/2000,,25.375,0.259749532,19.05861282,,
12/6/2000,,23.625,0.218686149,18.0440197,,
12/7/2000,,21.375,0.218686149,16.91004944,,
12/8/2000,,23.4375,0.230145693,17.32782173,,
12/11/2000,,25.3125,0.232055604,18.48168755,,
12/12/2000,,25.875,0.234920517,18.58116341,,
12/13/2000,,23.75,0.229190722,18.22306633,,
12/14/2000,,22.6875,0.220596105,17.66602325,,
12/15/2000,,22.875,0.214866295,15.65671635,,
12/18/2000,,19.875,0.217731193,15.21903706,,
12/19/2000,,18.25,0.21391134,14.26412487,,
12/20/2000,,16.6875,0.219641149,13.20973301,,
12/21/2000,,15.1875,0.214866295,13.82645226,,
12/22/2000,,15.5625,0.229190722,14.78137398,,
12/26/2000,,16.9375,0.224415913,14.92062855,,
12/27/2000,,16.875,0.226325825,14.78137398,,
12/28/2000,,17.375,0.226325825,14.18454647,,
12/29/2000,,15.5625,0.227280721,13.80655766,,
1/2/2001,,13.875,0.227280721,13.80655766,,
1/3/2001,,17.5625,0.250199884,15.25883389,,
1/4/2001,,15.5,0.260704488,15.4179821,,
1/5/2001,,14.5625,0.250199884,15.6368227,,
1/8/2001,,14.9375,0.253064722,15.57713127,,
1/9/2001,,16.375,0.26261431,16.49227142,,
1/10/2001,,16.5,0.253064722,16.83046913,,
1/11/2001,,17,0.275028765,17.50687027,,
1/12/2001,,17.6875,0.26261431,17.02940941,,
1/16/2001,,18.0625,0.261659384,16.73099327,,
1/17/2001,,18.375,0.256884664,16.85036659,,
1/18/2001,,19.5,0.285533369,17.66602325,,
1/19/2001,,19.9375,0.297948003,19.41671371,,
1/22/2001,,18.5,0.29412806,19.13819695,,
1/23/2001,,18.953125,0.313227355,19.27745628,,
1/24/2001,,21.875,0.313227355,20.03343391,,
1/25/2001,,19,0.304632664,19.67533684,,
1/26/2001,,19.5,0.298902959,20.37163353,,
1/29/2001,,20.125,0.331371576,20.53078842,,
1/30/2001,,18.9375,0.332326472,20.17268562,,
1/31/2001,,17.3125,0.33041662,19.43660164,,
2/1/2001,,16.25,0.322776943,19.85438347,,
2/2/2001,,14.375,0.315137208,19.35702896,,
2/5/2001,,14.4375,0.308452547,19.71512413,,
2/6/2001,,15.8125,0.322776943,19.91407013,,
2/7/2001,,15,0.317047119,20.59046745,,
2/8/2001,,14.375,0.317047119,19.81459808,,
2/9/2001,,13.375,0.292218179,18.81989098,,
2/12/2001,,14.5,0.30081287,18.70052338,,
2/13/2001,,13.75,0.292218179,18.52147484,,
2/14/2001,,14.4375,0.297948003,18.58116341,,
2/15/2001,,14.5,0.306542575,18.7204113,,
2/16/2001,,13.6875,0.290308207,18.24295807,,
2/20/2001,,12.5,0.279803634,17.78538704,,
2/21/2001,,11.9375,0.288398296,17.90475655,,
2/22/2001,,11.9375,0.28744334,17.56655693,,
